,Total,class,sepal_length,sepal_width,petal_length
0,10.2,Iris-setosa,5.1,3.5,1.4
1,9.5,Iris-setosa,4.9,3.0,1.4
2,9.4,Iris-setosa,4.7,3.2,1.3
3,9.399999999999999,Iris-setosa,4.6,3.1,1.5
4,10.2,Iris-setosa,5.0,3.6,1.4
5,11.4,Iris-setosa,5.4,3.9,1.7
6,9.700000000000001,Iris-setosa,4.6,3.4,1.4
7,10.1,Iris-setosa,5.0,3.4,1.5
8,8.9,Iris-setosa,4.4,2.9,1.4
9,9.6,Iris-setosa,4.9,3.1,1.5
10,10.8,Iris-setosa,5.4,3.7,1.5
11,9.999999999999998,Iris-setosa,4.8,3.4,1.6
12,9.299999999999999,Iris-setosa,4.8,3.0,1.4
13,8.5,Iris-setosa,4.3,3.0,1.1
14,11.2,Iris-setosa,5.8,4.0,1.2
15,12.000000000000002,Iris-setosa,5.7,4.4,1.5
16,11.000000000000002,Iris-setosa,5.4,3.9,1.3
17,10.3,Iris-setosa,5.1,3.5,1.4
18,11.5,Iris-setosa,5.7,3.8,1.7
19,10.7,Iris-setosa,5.1,3.8,1.5
20,10.7,Iris-setosa,5.4,3.4,1.7
21,10.700000000000001,Iris-setosa,5.1,3.7,1.5
22,9.399999999999999,Iris-setosa,4.6,3.6,1.0
23,10.599999999999998,Iris-setosa,5.1,3.3,1.7
24,10.299999999999999,Iris-setosa,4.8,3.4,1.9
25,9.799999999999999,Iris-setosa,5.0,3.0,1.6
26,10.4,Iris-setosa,5.0,3.4,1.6
27,10.399999999999999,Iris-setosa,5.2,3.5,1.5
28,10.2,Iris-setosa,5.2,3.4,1.4
29,9.7,Iris-setosa,4.7,3.2,1.6
30,9.7,Iris-setosa,4.8,3.1,1.6
31,10.700000000000001,Iris-setosa,5.4,3.4,1.5
32,10.9,Iris-setosa,5.2,4.1,1.5
33,11.299999999999999,Iris-setosa,5.5,4.2,1.4
34,9.6,Iris-setosa,4.9,3.1,1.5
35,9.599999999999998,Iris-setosa,5.0,3.2,1.2
36,10.5,Iris-setosa,5.5,3.5,1.3
37,9.6,Iris-setosa,4.9,3.1,1.5
38,8.9,Iris-setosa,4.4,3.0,1.3
39,10.2,Iris-setosa,5.1,3.4,1.5
40,10.100000000000001,Iris-setosa,5.0,3.5,1.3
41,8.4,Iris-setosa,4.5,2.3,1.3
